model,pozitsiya,narx,yil,km,yonilgi,kraska,rang,hudud,posted_date
#Nexia 2,Luxe,"5,000$",2015,287.200,Benzin + Gaz ,50%,Oq,Farg'ona,2025-03
#Gentra ,3,"11,800$",2020,46.000,Benzin + Metan gaz ,,Oq,Andijon,2025-03
#Gentra ,3,"12,800$",2022,95.000,Benzin ,,Qora,,2025-03
#Kia Sportage,1,"26,500$",2024,11.000,Benzin ,,Qora,,2025-03
#Cobalt ,GX-Style,"12,800$",2024,14.000,Benzin + Metan ,,Oq,,2025-03
#Gentra ,3,"13,500$",2023,38.000,Benzin gaz 4 pok ,,Darkmoon,Toshkent,2025-03
#Gentra ,3,"14,300$",2022,56.000,Benzin ,,Qora,Farg'ona ,2025-03
#Cobalt ,GX-STYLE,"12,600$",2025,,Benzin ,,Oq,Andijon ,2025-03
#Damas ,2,"6,950$",2024,21.000,Benzin Propan ,,Oq,,2025-03
#Spark ,Mexanika,"6,500$",2019,140.000,Benzin Gaz ,,Oq,Toshkent,2025-03
#Nexia 2,1.6L,"4,800$",2013,275.000,Benzin + Gaz ,,Oq,,2025-03
#Cobalt ,4,"11,800$",2024,25.000,Benzin metan 4 pok ,,Oq,,2025-03
#Lacetti ,3,"7,700$",2013,209.000,Benzin gaz ,,Mokriy,,2025-03
#Damas ,2,"6,450$",2023,99.000,Benzin Gaz ,,Oq,,2025-03
#Gentra ,Mexanika,"9,500$",2020,86.000,Benzin Zavodskoy gaz ,,Choco,,2025-03
#Tracker 2 Xitoy,Premier,"14,500$",2020,79.000,Benzin Propan 4 pok  ,,Darkmoon,,2025-03
#Tracker 2,7,"20,000$",2024,760,Benzin ,,Qora,,2025-03
#Malibu 2,2.4,"18,200$",2018,48.200,Benzin  ,,Bardoviy,,2025-03
#Matiz MX,MX,"3,100$",2006,490.000,Benzin Gaz ,40%,Stalnoy,Andijon,2025-03
#Damas ,2,"6,800$",2022,78.000,Benzin metan ,,Oq,Farg'ona,2025-03
