date,post_text
2025-03,Skoda Octavia III (A7) 2.0 MT (150 л.с.) Год: 2015 Пробег: 231534 км Топливо: Дизель Объем: 2 л КПП: Механическая Цвет: Синий Кузов: Универсал 5 дв. Привод: Передний Цена: 16725 $ Посмотреть на нашем сайте  #Skoda #Octavia #Дизель
2025-03,Citroen C4 I Рестайлинг 1.6 AT (150 л.с.) Год: 2008 Пробег: 215194 км Топливо: Бензин Объем: 1.6 л КПП: Автоматическая Цвет: Серебристый Кузов: Хэтчбек 5 дв. Привод: Передний Цена: 5900 $ Посмотреть на нашем сайте  #Citroen #C4 #Бензин
2025-03,Peugeot 206 I 1.6 MT (109 л.с.) Год: 2005 Пробег: 248295 км Топливо: Бензин Объем: 1.6 л КПП: Механическая Цвет: Черный Кузов: Хэтчбек 3 дв. Привод: Передний Цена: 4325 $ Посмотреть на нашем сайте  #Peugeot #206 #Бензин
2025-03,Peugeot 3008 II 2.0 AT (177 л.с.) Год: 2019 Пробег: 210214 км Топливо: Дизель Объем: 2 л КПП: Автоматическая Цвет: Белый Кузов: Внедорожник 5 дв. Привод: Передний Цена: 24075 $ Посмотреть на нашем сайте  #Peugeot #3008 #Дизель
2025-03,Nissan Qashqai I Рестайлинг 2.0 CVT (141 л.с.) Год: 2010 Пробег: 153230 км Топливо: Бензин Объем: 2 л КПП: Вариатор Цвет: Черный Кузов: Внедорожник 5 дв. Привод: Передний Цена: 10950 $ Посмотреть на нашем сайте  #Nissan #Qashqai #Бензин
2025-03,Volkswagen Golf Plus II 1.6 AMT (102 л.с.) Год: 2010 Пробег: 140512 км Топливо: Бензин Объем: 1.6 л КПП: Робот Цвет: Серый Кузов: Хэтчбек 5 дв. Привод: Передний Цена: 8850 $ Посмотреть на нашем сайте  #Volkswagen #Golf_Plus #Бензин
2025-03,Volkswagen Atlas I Рестайлинг 2.0 AT (235 л.с.) Год: 2020 Пробег: 39764 км Топливо: Бензин Объем: 2 л КПП: Автоматическая Цвет: Серый Кузов: Внедорожник 5 дв. Привод: Полный Цена: 33000 $ Посмотреть на нашем сайте  #Volkswagen #Atlas #Бензин
2025-03,Audi A6 V (C8) 40 TDI 2.0 AMT (204 л.с.) Год: 2020 Пробег: 56426 км Топливо: Дизель Объем: 2 л КПП: Робот Цвет: Белый Кузов: Седан Привод: Полный Цена: 61350 $ Посмотреть на нашем сайте  #Audi #A6 #Дизель
2025-03,Mazda 2 II (DE) 1.5 MT (103 л.с.) Год: 2007 Пробег: 154503 км Топливо: Бензин Объем: 1.5 л КПП: Механическая Цвет: Серебристый Кузов: Хэтчбек 5 дв. Привод: Передний Цена: 6750 $ Посмотреть на нашем сайте  #Mazda #2 #Бензин
2025-03,SEAT Alhambra I Рестайлинг 1.9 AT (115 л.с.) Год: 2009 Пробег: 292158 км Топливо: Дизель Объем: 1.9 л КПП: Автоматическая Цвет: Синий Кузов: Минивэн Привод: Передний Цена: 9900 $ Посмотреть на нашем сайте  #SEAT #Alhambra #Дизель
2025-03,Hyundai Sonata VIII (DN8) 1.6 AT (183 л.с.) Год: 2019 Пробег: 131644 км Топливо: Бензин Объем: 1.6 л КПП: Автоматическая Цвет: Красный Кузов: Седан Привод: Передний Цена: 26275 $ Посмотреть на нашем сайте  #Hyundai #Sonata #Бензин
