date,post_text
2025-03,#Тезкор #Хушхабар  ⚡️Энди Кореяга бориб ишлаш осонлашади  Жанубий Кореяда илк бор ўзбекистонликларга соддалаштирилган тартибда виза бериш кўзда тутилмоқда  Ташқи ишлар вазири ўринбосари Олимжон Абдуллаев ва Улсан шаҳри мэри Ким Ду Гём ўртасида учрашув бўлиб ўтди.   ❗️Кореяга кетмоқчи бўлган танишларга юбориб қўямиз.  ✅ ХОКИМ БУВА - Подписаться.
2025-03,"📢 Ҳурматли Термиз шаҳри аҳолиси ва меҳмонлари!  Жорий йилнинг 19-март куни Термиз шаҳри “Санъат саройи” мажмуасида “Қадриятларинг боқий бўлсин, Наврўз!” шиори остида вилоятнинг асосий байрам сайллари бўлиб ўтади.  Ушбу байрам тадбирлари доирасида йўл ҳаракати хавфсизлигини таъминлаш ва йўл-транспорт ҳодисаларининг олдини олиш мақсадида 19-март куни соат 09:00 дан 23:00 гача Ҳаким ат-Термизий шоҳ кўчасининг Ибн Сино ҳамда Алишер Навоий кўчалари билан кесишган чорраҳаларигача бўлган қисми транспорт воситалари ҳаракати учун ёпилади.  ❗️Мазкур ҳудудда фақат махсус транспорт воситаларининг ҳаракатланишига рухсат этилади.  Юзага келиши мумкин бўлган вақтинчалик ноқулайликлар учун узр сўраган ҳолда, ҳайдовчиларга айланма йўллардан фойдаланишни тавсия этамиз.  Сурхондарёдаги сўнги янгиликлар канали👇👇👇 https://t.me/+XvY4X0u7cEs1NDRi"
2025-03,"Ёшлар дафтарига аъзо бўлиш жуда осон ва у сизга кўплаб имкониятлар беради, права ва ижара тўловларини ҳам қилиб бериши мумкин  Яқинларга юборинг.  ✅ ХОКИМ БУВА - Подписаться."
2025-03,"#ТЕЗКОР #ПРЕМЬЕРА  🔥 МИЛЛИОН ЖАМОАСИ ЯНГИ КОНЦЕРТ ДАСТУРИ   Мароқли ҳордиқ тилаймиз 😊  Яқинларга биринчи бўлиб улашинг, биринчи бизда!   ✅ ХОКИМ БУВА - Подписаться."
2025-03,Болангизни кийимини асло бундай ечманг ❌  Яқинларга юбориб қўямиз!  ✅ ХОКИМ БУВА - Подписаться.
2025-03,#Диққат  ❗️ Темудан буюртма беришни тўхтатишингиз керак унинг фаолияти 20-март санасидан расман чекланади  Яқинларга юбориб огохлантириб қўйинг  👉@xatxabar - каналга обуна бўлинг!
2025-03,"#Ана_холос  ‼️ Иеее бу нимаси? 50 минг сўмлик газ оласиз, 100 минг сўм ""ўлпон"" тўлайсиз...   Метанга без очеред кирдингиз деб ""нагло"" 100 минг сўм сўрашаётгани айтилаётган видеолар тарқалди.  ✅ ХОКИМ БУВА - Подписаться."
2025-03,"G'ALABAAAA RAMAZON TEMIROOOV   Hakamlar qaroriga binoan hamyurtimiz g'alaba qozondi!!!  Obuna bo’ling👇  https://t.me/voha_bozori_1001  Barcha turdagi mahsulotlarni qulay va ishonchli  👉sotish va sotib olish uchun e'lon bering. Voha va O'zbekiston buylab.  👉Beznis g'oyalar, 👉Hamda yangi vidiolar va habarlardan bohabar bulish"
2025-02,"#Диққат   👷‍♂️Россиядаги ўзбекларга Янги Тошкентни қуриш учун қайтиш таклиф қилинмоқда  Ўзбекистоннинг РФдаги элчихонаси мутахассисларни ишга қабул қилиш тўғрисида эълон берди.  Унга кўра, қурилиш ташкилотлари 10 минг ишчини ишга олишга тайёр. Маош: 8–15 млн. сўм.  ☝️Ишчилар ётоқхона, кийим-кечак, транспорт ва 3 маҳал иссиқ овқат билан таъминланади. Асосийси, иш ватанда!  ☎️ Россиядан туриб иш ҳақида маълумот олса бўлади: 0 800 0000 11-76   ☎️ Ўзбекистонда бўлсангиз, 11-76 рақамига қўнғироқ қилишингиз мумкин.  Хабарни Россияда ҳужжатсиз, қийналиб ишлаб юрганлар ака-укаларимизга албатта жўнатиб қўйинг. Ватанда ҳам юқори маошли иш таклиф қилишяпти.  ✅ ХОКИМ БУВА - Подписаться."
2025-02,"⚡️Ҳусанов аллақачон ""Manchester City"" оиласининг энг қадрлиларидан бирига айланди.   👏 Баракалла, ўзбек ўғлони!"
2025-02,"Пул - бевафо бўлади. Кўчага айланишга сен билан бирга чиқади-ю, уйга бир ўзинг қайтасан! 😁  ✅ ХОКИМ БУВА - Подписаться."
2025-02,"⚡️Россияда доллар рекорд даражада қулади, курс 88 рублга тушди 👏  Бугун Россия рубли АҚШ долларига нисбатан мустаҳкамланиб, доллар курси 88 рублга тушди. Бу сўнги йиллар ичидаги долларнинг энг паст кўрсаткич ҳисобланади.  Бугун АҚШ президенти Трамп урушда Украина президентини айблаши ортидан Россияда доллар курси пастлаган.  Энди мигрантларимиз уйларига кўпроқ доллар юборишлари мумкин.  ✅ ХОКИМ БУВА - Подписаться."
2025-02,#Диққат #Фойдали  Машина минадиган ва узоқ йўлга қатнайдиган ҳар бир шофёрда ушбу 2 та маҳсулот бўлиши шарт  🚀Ҳайдовчиларга юбориб қўямиз.  ✅ ХОКИМ БУВА - Подписаться.
2025-02,#Диққат #Фойдали  Машина минадиган ва узоқ йўлга қатнайдиган ҳар бир шофёрда ушбу 2 та маҳсулот бўлиши шарт  🚀Ҳайдовчиларга юбориб қўямиз.  ✅ ХОКИМ БУВА - Подписаться.
2025-02,"Шаҳар бедарвоза эмас, лекин мактаб бедарвоза бўпкетди. Ўқитувчининг ҳимояси Манчестер Ситининг ҳимоясидан ҳам кучсиз.  ✅ ХОКИМ БУВА - Подписаться."
2025-02,"‼️Миршакар Файзуллаев концертида “котта боллар” машинасини синдирди...  У бу билан ёшлар умрини бунақа нарсалар орзусида бекор ўтказмасликка, қарзга ботиб қимматли вақтини бир уюм темирга алмашмасликка чақирди.  ✅ ХОКИМ БУВА - Подписаться."
2025-02,🚘Moshina modeli: #Nexia 2 🔢Pozitsiya: 4 mexanika 🔄Kraska: Chap tomon krilo petno ♻️Rangi: Delfin 📶Yil: 2015 🆙Probeg: 215.000 km ⛽️Benzin Propan 4 pok 💲Narxi: 5.500$ 📞Tel: +998902982929 🚩 Buxoro  https://telegram.me/+iC2WP8eik3ljYWEy  ‼️Diqqat. Mashinani ko'rmasdan turib pul tashlamang! Savdoga Admin javobgar emas!!!
2025-02,🚘Moshina modeli: #Damas  🔢Pozitsiya: 2 🔄Kraska: Toza ♻️Rangi: Oq 📶Yil: 2019 🆙Probeg:  ⛽️Benzin  💲Narxi: 7.200$ kelishiladi 📞Tel: +998952478525 🚩 Buxoro  https://telegram.me/+iC2WP8eik3ljYWEy  ‼️Diqqat. Mashinani ko'rmasdan turib pul tashlamang! Savdoga Admin javobgar emas!!!
2025-02,"⚡️Ўзбекистондаги пенсиялар автоматик равишда тайинланади: ҳеч қандай баёнот ва навбатлар йўқ  13 феврал куни Олий Мажҳлиснинг Қонунчилик палатаси биринчи ўқишда қонунни қабул қилди, шуни таъкидлашича, 2025 йил 1 мартдан бошлаб пенсиялар автоматик равишда - ҳужжатларсиз ва ҳужжатларсиз ўрнатилади.  📌 Бу қандай ишлайди? Давлат органларининг ўзлари барча керакли маълумотларни алмашадилар ва пенсия ёшига этган фуқаролар (эркаклар учун 60 йил, аёллар учун 55 ёш) пенсия қатнашмасдан тайинланади.  ✅ ХОКИМ БУВА - Подписаться."
